animal_name,link
Dog,https://www.sciencemag.org/sites/default/files/styles/inline__450w__no_aspect/public/dogs_1280p_0.jpg?itok=h6VBayx-
Cats,https://www.tomsgates.com/web/image/3643?access_token=c9441a99-35ba-4c85-882e-c59a45ea4e2a
Dolphins,https://pyxis.nymag.com/v1/imgs/260/250/46184df43c05ab8634927f8848667b5ca7-dolphin-beauty-lede.rvertical.w330.jpg
Cows,https://i.pinimg.com/originals/31/db/fa/31dbfa7c37b73e5186f8cbac5b9480ba.jpg
Llamas,https://live.staticflickr.com/3136/2457768185_b756db0555_w.jpg
Fish,https://images.unsplash.com/photo-1535591273668-578e31182c4f?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjM2NTI5fQ
Hedgehog,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Domesticated_Baby_Hedgehog.jpg/220px-Domesticated_Baby_Hedgehog.jpg
Giraffe,https://www.thespiritsbusiness.com/content/http://www.thespiritsbusiness.com/media/2020/03/Glenmorangie-giraffe-project.gif
Chicken,https://grist.org/wp-content/uploads/2008/10/free-range-chicken_h240.jpg
Bunnies,https://vetstreet-brightspot.s3.amazonaws.com/04/71/ec29a3d143ccb82ba28402c1cff6/bunny-in-a-field-thinkstock-178046407.jpg
